state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_population,state_area_sq_miles
Alaska,3,2280,345,3,580,731545,665384
Arizona,2,1577,237,2,80,7278717,113990
California,21,25948,2738,21,587,39512223,163695
Colorado,22,43682,3258,22,428,5758736,104094
Connecticut,5,358,353,5,256,3565278,5543
Idaho,12,16396,1136,12,415,1787065,83569
Illinois,4,191,221,4,191,12671821,57914
Indiana,2,165,157,2,165,6732219,36420
Iowa,3,140,100,3,140,3155070,56273
Maine,9,3216,865,9,388,1344212,35380
Maryland,1,172,121,1,118,6045680,12406
Massachusetts,11,1166,671,11,583,6892503,10554
Michigan,28,4406,2389,28,1946,9986857,96714
Minnesota,14,1560,1490,14,1020,5639632,86936
Missouri,2,60,69,2,47,6137428,69707
Montana,12,21410,951,12,710,1068778,147040
Nevada,4,2110,415,4,0,3080156,110572
New Hampshire,16,3427,1847,16,376,1359711,9349
New Jersey,2,190,170,2,181,8882190,8723
New Mexico,9,5223,966,9,50,2096829,121590
New York,33,5514,2384,33,2836,19453561,54555
North Carolina,6,370,506,6,335,10488084,53819
Ohio,5,421,489,5,421,11689100,44826
Oregon,10,11774,1180,10,1127,4217737,98379
Pennsylvania,19,1888,1404,19,1528,12801989,46054
Rhode Island,1,30,100,1,30,1059361,1545
South Dakota,2,950,183,2,0,884659,77116
Tennessee,1,0,83,1,0,6829174,42144
Utah,13,30508,1544,13,642,3205958,84897
Vermont,15,7239,1777,15,50,623989,9616
Virginia,4,269,366,4,135,8535519,42775
Washington,10,15330,1022,10,1997,7614893,71298
West Virginia,4,542,342,4,187,1792147,24230
Wisconsin,15,1750,1519,15,1065,5822434,65496
Wyoming,8,6523,716,8,110,578759,97813
